Component Name,Retention Time,Reference m/z,Area,Height,TIC,Formula (mol ion),CAS No.,SI,RSI,HRF Score,RHRF Score,Total Score,Selected Column Type,Calculated RI,Library RI,Delta RI,Library Name,Library ID Number,Sample Name,File name
"farn1",23.636,105.070007,1567011,344201,1570366,C15H24,54932-91-1,655,687,98.2872,98.7916,92.4,SemiStandardNonPolar,1365,,,mainlib,99458,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn1",23.636,105.070007,1567011,344201,1570366,C15H24,54932-91-1,655,687,98.2872,98.7916,92.4,SemiStandardNonPolar,1365,,,mainlib,99458,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn2",23.973,107.085579,19071990,3923555,13001692,C15H24,24703-35-3,649,651,97.1942,97.4694,91.9,SemiStandardNonPolar,1378,1495.0,117.0,mainlib,126791,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn3",24.214,189.163864,1147834,186103,697390,C15H24,717-74-8,708,708,99.4198,99.4198,93.9,SemiStandardNonPolar,1387,1286.0,101.0,replib,35462,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn4",24.488,107.085579,1840130,574346,2157123,C15H24,53585-13-0,636,645,98.2018,98.7281,92.0,SemiStandardNonPolar,1397,1533.0,136.0,mainlib,82722,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn5",24.73,119.08567,7432065,2294940,4575614,C15H24,469-61-4,721,740,96.8297,96.6902,93.2,SemiStandardNonPolar,1407,1411.0,4.0,replib,23409,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn6",24.739,105.070007,4965854,1337949,5411574,C15H24,20085-19-2,545,547,98.9437,99.0623,90.5,SemiStandardNonPolar,1407,1483.0,76.0,mainlib,99545,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn7",24.752,107.085579,5354369,1694330,4960421,C15H24,29873-99-2,550,573,97.3015,97.3872,89.9,SemiStandardNonPolar,1407,1433.0,26.0,replib,24060,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn8",24.834,107.085579,2431932,681546,910961,C15H24O,104-40-5,695,734,95.1523,98.9716,92.0,SemiStandardNonPolar,1411,1877.0,466.0,mainlib,104409,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn9",24.924,91.054329,1723837,602804,3978775,C15H24,29873-99-2,632,638,97.7168,97.6841,91.7,SemiStandardNonPolar,1414,1433.0,19.0,replib,24060,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn10",24.99,119.08567,7056947,2469708,6777825,C15H24,29837-12-5,772,800,99.3562,99.4109,95.2,SemiStandardNonPolar,1417,1532.0,115.0,mainlib,123065,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn11",25.189,91.054329,64473043,20611912,171884649,C15H24,11028-42-5,711,711,99.5259,99.519,94.0,SemiStandardNonPolar,1425,1422.0,3.0,mainlib,4447,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn12",25.657,93.069984,8119705,2685750,21096228,C15H24O,115-71-9,668,668,99.503,99.503,93.2,SemiStandardNonPolar,1443,1681.0,238.0,mainlib,82603,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn13",25.748,81.069901,1590386,510448,797763,C15H24,5208-59-3,567,620,100.0,100.0,91.4,SemiStandardNonPolar,1447,1384.0,63.0,replib,14343,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn14",25.757,175.148224,5799954,1664394,7810619,C15H24,32391-44-9,717,731,99.5737,100.0,94.2,SemiStandardNonPolar,1447,1456.0,9.0,mainlib,204898,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn15",25.837,91.054329,87033534,28044923,219560084,C15H24,18794-84-8,731,750,99.4067,99.3848,94.4,SemiStandardNonPolar,1451,1457.0,6.0,replib,10406,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn16",26.024,175.148224,6521796,1185586,3750908,C15H24,41898-97-9,545,549,97.8623,98.9237,90.1,SemiStandardNonPolar,1458,,,mainlib,204363,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn17",26.051,119.08567,18426063,4137938,28324044,C15H24,92692-39-2,754,754,99.8411,99.8411,95.0,SemiStandardNonPolar,1459,1458.0,1.0,mainlib,123270,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn18",26.212,119.08567,54905730,15168527,95233826,C15H24,18252-46-5,798,800,99.0692,99.0668,95.6,SemiStandardNonPolar,1466,1415.0,51.0,mainlib,122872,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn19",26.291,175.148224,8160243,1280698,4319466,C15H24,41898-97-9,535,552,99.4061,100.0,90.5,SemiStandardNonPolar,1469,,,mainlib,204363,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn20",26.403,189.163864,3375684,903439,2377606,C15H24,26620-71-3,619,619,100.0,100.0,92.4,SemiStandardNonPolar,1473,1487.0,14.0,mainlib,100902,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn21",26.485,119.08567,64425971,20171230,99650844,C15H24,1461-03-6,842,842,99.2286,99.2286,96.5,SemiStandardNonPolar,1476,1500.0,24.0,replib,23433,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn22",26.595,91.054329,79513145,24947354,178670032,C15H24,18252-46-5,801,803,99.3483,99.3467,95.8,SemiStandardNonPolar,1481,1415.0,66.0,mainlib,122872,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
